,ОКТМО,Население 2016,Число работников 2016,Число работников-россиян 2016,Число работников-иностранцев 2016,Средняя белая зарплата 2016,Средняя белая зарплата россиян 2016,Средняя белая зарплата иностранцев 2016,Население 2018,Число работников 2018,Число работников-россиян 2018,Число работников-иностранцев 2018,Средняя белая зарплата 2018,Средняя белая зарплата россиян 2018,Средняя белая зарплата иностранцев 2018,"Доля иностранных работников 2016, %","Доля иностранных работников 2018, %",Темпы роста числа иностранных работников 2018-2016,"Темпы роста доли иностранных работников 2018-2016, %","Темпы роста населения 2018-2016, %","Темпы роста числа рабочих мест 2018-2016, %","Темпы роста средней белой зарплаты 2018-2016, %",Средняя белая зарплата иностранцев % от российской 2016,Средняя белая зарплата иностранцев % от российской 2018,Число рабочих мест в % к численности населения 2016,Число рабочих мест в % к численности населения 2018,"Темпы роста доли рабочих мест 2016-2018, %"
Московская область,46000000,7318647,3361998,3163051,200680,32943,33810,18979,7503385,3427984,3171866,258280,38277,39710,20345,5.969069583027712,7.534457570397062,28.7024117998804,26.224991442893074,2.524209734394889,1.962701940929179,16.191603679082057,57.611632213216765,53.152023408313084,45.937425319188094,45.68583379368112,-0.5476831227671841
Городской округ Балашиха,46704000,440513,144485,139754,4781,29664,30158,14915,479987,144304,137876,6485,33343,34172,15393,3.308994013219365,4.4939849207229186,35.641079272118816,35.8112134010983,8.960916022909649,-0.12527251963871944,12.402238403452003,50.27980043149946,46.16561197252797,32.79925904570353,30.064147570663373,-8.33894287437702
г. Балашиха,46704000,428400,144485,139754,4781,29664,30158,14915,468221,144304,137876,6485,33343,34172,15393,3.308994013219365,4.4939849207229186,35.641079272118816,35.8112134010983,9.295284780578905,-0.12527251963871944,12.402238403452003,50.27980043149946,46.16561197252797,33.7266573295985,30.81963431798232,-8.619362966234368
Городской округ Бронницы,46705000,22467,16317,15095,1224,21457,22366,10211,22567,15780,13957,1823,24997,27274,7570,7.501378929950358,11.552598225602027,48.93790849673203,54.00632781629761,0.4450972537499487,-3.291046148189003,16.498112504077934,47.5881996551242,30.28363403608433,72.62651889437842,69.92511188904152,-3.719587619593323
г. Бронницы,46705000,22467,16317,15095,1224,21457,22366,10211,22567,15780,13957,1823,24997,27274,7570,7.501378929950358,11.552598225602027,48.93790849673203,54.00632781629761,0.4450972537499487,-3.291046148189003,16.498112504077934,47.5881996551242,30.28363403608433,72.62651889437842,69.92511188904152,-3.719587619593323
Городской округ Восход (ЗАТО),46763000,1925,469,468,0,27918,27903,0,1866,418,410,8,24764,25016,9480,0.0,1.9138755980861244,inf,inf,-3.0649350649350704,-10.874200426439229,-11.297370871838952,0.0,38.28137619124536,24.363636363636363,22.40085744908896,-8.056182111948296
пгт Восход,46763000,1925,469,468,0,27918,27903,0,1866,418,410,8,24764,25016,9480,0.0,1.9138755980861244,inf,inf,-3.0649350649350704,-10.874200426439229,-11.297370871838952,0.0,38.28137619124536,24.363636363636363,22.40085744908896,-8.056182111948296
Городской округ Дзержинский,46711000,53867,26768,24952,1823,29605,30179,21641,55669,27394,25422,1998,34425,35347,22240,6.8103705917513455,7.293567934584215,9.599561162918269,7.095022749835578,3.3452763287355802,2.338613269575607,16.281033609187645,73.09913865901031,64.60421205519245,49.69276180221657,49.20871580233164,-0.9740774759340209
г. Дзержинский,46711000,53867,26768,24952,1823,29605,30179,21641,55669,27394,25422,1998,34425,35347,22240,6.8103705917513455,7.293567934584215,9.599561162918269,7.095022749835578,3.3452763287355802,2.338613269575607,16.281033609187645,73.09913865901031,64.60421205519245,49.69276180221657,49.20871580233164,-0.9740774759340209
Городской округ Долгопрудный,46716000,100567,48612,45765,2864,34446,35473,17843,108861,49933,46784,3173,39584,40860,20466,5.891549411667901,6.354515050167224,10.789106145251392,7.858130453466861,8.247238159634861,2.717436024026987,14.916100563200363,51.79991871334843,51.702708164915116,48.33792397108395,45.86858470894076,-5.108492585698066
г. Долгопрудный,46716000,100567,48612,45765,2864,34446,35473,17843,108861,49933,46784,3173,39584,40860,20466,5.891549411667901,6.354515050167224,10.789106145251392,7.858130453466861,8.247238159634861,2.717436024026987,14.916100563200363,51.79991871334843,51.702708164915116,48.33792397108395,45.86858470894076,-5.108492585698066
Городской округ Домодедово,46709000,158581,123063,113196,9919,34827,36559,14867,172113,134149,119899,14335,39594,42495,15094,8.06009929873317,10.685879134395336,44.520616997681216,32.57751224075945,8.533178627956683,9.008394074579694,13.687656128865534,42.68814425589341,38.12193766732333,77.6026131756011,77.94239830808829,0.43785269410747674
г. Домодедово,46709000,116950,123063,113196,9919,34827,36559,14867,127850,134149,119899,14335,39594,42495,15094,8.06009929873317,10.685879134395336,44.520616997681216,32.57751224075945,9.320222317229575,9.008394074579694,13.687656128865534,42.68814425589341,38.12193766732333,105.2270200940573,104.92686742276105,-0.28524296423860784
Городской округ Дубна,46718000,75179,38445,37774,685,33872,34080,21695,75144,40174,39316,870,41156,41488,25478,1.781766159448563,2.1655797281824065,27.00729927007299,21.54118635032498,-0.04655555407759859,4.4973338535570395,21.50448748228626,64.04995276334435,61.905918942560014,51.137950757525374,53.46268497817524,4.546005825835242
г. Дубна,46718000,75179,38445,37774,685,33872,34080,21695,75144,40174,39316,870,41156,41488,25478,1.781766159448563,2.1655797281824065,27.00729927007299,21.54118635032498,-0.04655555407759859,4.4973338535570395,21.50448748228626,64.04995276334435,61.905918942560014,51.137950757525374,53.46268497817524,4.546005825835242
Городской округ Егорьевск,46722000,104120,38111,36439,1693,26602,26641,25444,104287,38252,36144,2134,31372,31660,25942,4.442287003752197,5.578793265711597,26.048434731246317,25.583809893405007,0.16039185555127844,0.3699719241164079,17.93098263288475,95.64694383880911,82.6915721025118,36.60295812524011,36.67954778639715,0.20924445749708198
г. Егорьевск,46722000,73324,38111,36439,1693,26602,26641,25444,108187,38252,36144,2134,31372,31660,25942,4.442287003752197,5.578793265711597,26.048434731246317,25.583809893405007,47.546505918935146,0.3699719241164079,17.93098263288475,95.64694383880911,82.6915721025118,51.97616060225847,35.3572980117759,-31.974009618864464
